exprid,Time_chopin,NC_chopin,MM_chopin
1,19.4420181,-120.11373856620621,0.4365696685233226
2,17.0318981,-120.23967187809193,0.41483611994973874
3,17.084038500000002,-119.49039087212871,0.4344223477779849
4,17.317752600000002,-121.08248611139378,0.43229171788717125
5,17.0698246,-120.15626009552312,0.4321251179258634
6,17.0052093,-120.27000541665113,0.4226295883852971
7,17.2294431,-120.60976725218113,0.41056363416886177
8,17.6286138,-120.97196877903573,0.4348697160637412
9,16.995643,-120.51776678594058,0.43674637317423715
10,17.840544899999998,-120.09889016792862,0.41770565613511884
11,16.661859,-120.70228399721765,0.4394626783353781
12,17.772514,-120.44015642397015,0.4268612911494237
13,17.438491399999997,-120.7303998500677,0.4392749839764534
14,17.1640102,-120.62568665351044,0.44665028841478455
15,17.789403,-120.02042453623628,0.459946449976586
16,17.043129999999998,-120.26264432508324,0.4521392220248651
17,17.9436712,-121.11453289998835,0.4402725184308974
18,17.8766189,-120.05801296939615,0.44987592551363426
19,18.4415708,-121.02041683223388,0.46080185258678624
20,17.6191063,-120.552441231243,0.44892111797732537
21,19.441765,-121.3389964639035,0.4518910256601164
22,16.7937284,-120.3678145399662,0.4278156389437661
23,16.8426523,-120.82183528814737,0.43328937157875447
24,17.5534626,-120.73573654780178,0.4498774518223537
25,16.520179900000002,-120.37952972222138,0.46055862145991655
26,17.5131513,-120.49303024934382,0.43370624713753236
27,18.190614,-121.23529314197233,0.404819661280719
28,16.974164000000002,-120.57220962539297,0.4530083300550279
29,17.5956578,-120.62318826294133,0.4221992715620621
30,17.6779954,-120.47291981911202,0.46294078858769794
31,17.889894599999998,-120.59722290256039,0.43725432495705197
32,17.7190519,-120.93339083475384,0.4264425178379124
33,17.7690044,-121.13196563775213,0.42127691965640685
34,18.3091744,-121.71584729718494,0.4386290109207093
35,17.3932189,-121.32616285469796,0.4158418523392057
36,17.4135897,-120.12100501824983,0.442519576532061
37,17.6291083,-120.07926097994387,0.4336114480080462
38,18.6730008,-121.708490089699,0.4477104576303783
39,18.0627507,-120.83182545262898,0.4478425520294941
40,17.0693866,-120.51176922349397,0.426660916936635
41,19.0644376,-120.41728690206133,0.4282736631824444
42,17.0620053,-121.12421256857449,0.42302484531282414
43,17.0845962,-120.89780516139253,0.3963593793019561
44,17.2963565,-121.76734343522664,0.42682946160936747
45,16.8541123,-120.44970856727937,0.4226529059443802
46,17.0754385,-121.02939982238414,0.4436185712157512
47,17.2880648,-120.86381952038501,0.4384023457832585
48,17.002922299999998,-120.70757299882318,0.4258144910152472
49,17.5557621,-120.99969700662191,0.4378050572590912
50,16.1714394,-120.96378041244878,0.43484750214344803
51,17.1793053,-120.92528581274709,0.44968989120860264
52,17.5000829,-121.31367519450188,0.43465425644451994
53,17.469244599999996,-120.09736872421645,0.4373290268297498
54,18.148823,-120.99967455517859,0.43384954001995796
55,17.028472100000002,-120.40442172450179,0.4348740112589812
56,17.4236892,-120.30442760295918,0.4558107750843542
57,17.3648046,-120.69271110200044,0.4457303465691631
58,17.6011439,-120.70033527793026,0.431622591666517
59,18.1907287,-120.98098299857952,0.4463763390135939
60,17.669644100000003,-120.0121972213696,0.43675023241502975
61,18.7899878,-120.10118405890432,0.413482991562062
62,16.567473,-121.85518191725464,0.43453230939348086
63,16.6465714,-120.14820373590044,0.4093646178288853
64,17.2601027,-120.80505963410262,0.4347175227290857
65,16.2512768,-119.98601013280282,0.4480856065606901
66,17.0825368,-121.34844700396009,0.43833284219924773
67,16.884771,-121.51580637558462,0.4562252116102398
68,17.0166149,-120.4108882938612,0.451366153640256
69,17.9648782,-120.63399343334473,0.4585312353879159
70,16.8663862,-120.76227189815631,0.45569272074182915
71,17.617774400000002,-120.93550015488961,0.4292742878107393
72,17.2718413,-121.59864815715909,0.4427084349940609
73,17.5894295,-121.35012442502912,0.4694910065032055
74,17.758350399999998,-120.27902721016699,0.4348514761086715
75,18.014241499999997,-120.76130055067048,0.4339036459065766
76,17.910707199999997,-120.51991261991962,0.4101941224113884
77,17.696145,-120.88044922359316,0.41288588680140004
78,18.088375300000003,-120.40717687433008,0.44528564536098614
79,18.0088558,-121.14453787776083,0.4422557904892727
80,17.2429736,-119.77923095283101,0.4263920574653832
81,19.3214475,-121.03906528454586,0.44378799247135536
82,16.5494298,-120.42811904422106,0.432417595224289
83,16.869549799999998,-120.91298204513939,0.45080080059845995
84,16.520798,-120.95764886685791,0.47392382723297277
85,16.9914123,-120.30299233901196,0.4204620633880558
86,17.2140635,-121.30599667083709,0.4280537343014249
87,16.969403500000002,-120.57506869301825,0.42294519226594396
88,17.2229652,-120.65723815616167,0.43848702734966283
89,17.530147799999998,-122.03111801434709,0.43887247607594315
90,17.120362,-120.93277902277602,0.42630167344459324
91,17.9512028,-120.95871535649675,0.4158406232744703
92,17.2091679,-120.47157191971164,0.43703673726044545
93,17.7880934,-120.31791071794588,0.42028685783983705
94,18.022705100000003,-121.11245103347969,0.4257581340119917
95,17.1841159,-119.67902886967985,0.40334973786529804
96,17.7238725,-120.84911962460635,0.44652963356596337
97,18.3513023,-120.66595432136036,0.41884368506102276
98,17.952652099999998,-121.30603700720124,0.45056502841187096
99,18.2775925,-121.74112773535137,0.45020228209789004
100,17.209111800000002,-121.7867026493871,0.4467628650812018
