exprid,N10000M5alpha50_Time,N10000M5alpha50_NC,N10000M5alpha50_MM,N10000M10alpha50_Time,N10000M10alpha50_NC,N10000M10alpha50_MM,N10000M50alpha50_Time,N10000M50alpha50_NC,N10000M50alpha50_MM,N10000M100alpha50_Time,N10000M100alpha50_NC,N10000M100alpha50_MM,N10000M5alpha70_Time,N10000M5alpha70_NC,N10000M5alpha70_MM,N10000M10alpha70_Time,N10000M10alpha70_NC,N10000M10alpha70_MM,N10000M50alpha70_Time,N10000M50alpha70_NC,N10000M50alpha70_MM,N10000M100alpha70_Time,N10000M100alpha70_NC,N10000M100alpha70_MM
15,14.966758825,-124.12918674369774,0.44521298736559556,16.630568272,-120.44935330834673,0.41408909893183904,14.595602143999999,-115.06841747558342,0.40796739518475766,14.574962094,-111.81508146767945,0.41733193244880057,24.609043912999997,-122.87048916546362,0.42728788456306377,21.804890626,-120.71514636160968,0.4217382307104506,19.52367717,-113.44337002297152,0.43574853264472213,21.724964714000002,-113.31607705207743,0.4183091221185409
16,28.013245494,-122.10247736651037,0.4712734301932855,25.17297269,-121.10105594807318,0.43229705441305344,23.787416897,-113.72067417791199,0.40535750697043066,21.498690681,-113.34025453336302,0.4099481433378226,29.153463143,-122.35032248988851,0.4406181726070405,44.137096668,-121.01332549070159,0.4180042764990145,32.991113162,-115.48857106464145,0.42513772526338334,31.921172572000003,-111.68284503179181,0.38901060302587276
17,19.842781281,-122.79382282873317,0.4494303834862271,17.783440074,-120.47319713124946,0.4228765496539931,15.625592842000001,-114.30453111008626,0.413243059399565,14.712470165000001,-112.17468935308145,0.41308834336858485,31.698782132,-121.64408903131535,0.4523470008375213,37.339625755,-120.31110490684225,0.43678796096200767,27.552810523,-113.73833510589323,0.4121407947100879,23.764383,-112.84943559351676,0.4172958335631839
18,21.958689506,-122.76798978502823,0.4180208050137487,19.467046589000002,-121.05861950982,0.43215102515501913,14.74305427,-115.38908958990962,0.41630765046368295,14.705488021,-114.54462136760071,0.4420721585666535,28.552530198,-123.31109672270823,0.4305624053134133,32.922607919,-122.10744935582562,0.42047182155740004,23.321936624000003,-115.40311747947523,0.4276011064338795,21.363824204,-114.6229927304935,0.38814878592402796
19,19.188604584,-124.11929378313582,0.4582428460234661,17.51000663,-120.95471939784532,0.44882836960016415,14.831107458,-116.56164934690085,0.40063201727868347,14.769101335,-115.29589076160337,0.3943267821129554,36.876320453999995,-123.53675991334204,0.4429687613628287,24.501286547,-119.9787806411122,0.4379436708805446,22.768147871,-114.60219661930607,0.4286609730910099,29.34344399,-114.0514005421226,0.40713170005259536
20,16.202746598,-122.23374083612585,0.4536106369732311,16.192354462,-120.36580020081428,0.44593120878587234,16.103900042,-111.81768267667445,0.41925950184677374,14.576055338,-112.1225123363117,0.4176891821596147,24.24069562,-122.34707701226799,0.4470845674403162,22.125832319,-120.70913963372956,0.43846800280505344,21.141394076999998,-114.52855606454331,0.4124082727123384,21.003004755000003,-112.59773463757124,0.398699750682689
21,22.429794540000003,-123.3906276674131,0.42756482713438215,32.405913287000004,-120.63405608877538,0.3999372808339602,34.055530336,-113.89851830089988,0.3982825049486476,34.869796733,-112.49720649861845,0.4005119428352371,30.137527368000004,-123.10738577417676,0.46264944905970495,35.958685396,-120.46855062506201,0.4486034370063413,33.202084524,-117.01663697221761,0.4402096719680074,37.502630518,-113.87954389716536,0.40877919463064233
22,17.143687721,-122.6082289609148,0.38966009865464846,24.801047905,-121.62366262532917,0.41933477221953647,26.111754160999997,-113.94352191581775,0.4059337743345166,24.327159707,-113.33381729275993,0.4142007537978921,23.074643976,-122.48298762278716,0.42250248775948274,30.276941468,-120.47463239114384,0.4159660271687418,30.43531263,-115.04157791580866,0.4198040834074924,29.041249906,-113.53167667780569,0.39822553597223354
23,15.645604015,-124.24842804902867,0.4295844760780287,21.176625619000003,-120.52769870379561,0.42047936594031193,23.049619458,-115.52598292214793,0.4125435423997089,21.865281644,-113.33882862999323,0.3826628631103418,23.134900494,-122.28730620510407,0.44758178906964563,24.035861190000002,-120.68926934061993,0.46584640885095796,32.312898382,-114.08635104857946,0.40984973294417304,31.342006158999997,-112.41624736825098,0.4310738232745246
24,16.459099121999998,-123.72857308613197,0.45067284952702924,17.930293,-120.36356701196625,0.4362456969232946,14.242870904,-115.10615978729732,0.42483980679879674,13.685056549,-114.81399242608322,0.3783007545646908,28.238977442,-123.01118127870872,0.4317416923192222,32.201117761,-120.8500362932241,0.43353001243251077,28.532471279,-115.50909866229705,0.4222316546704844,24.995962323999997,-113.0162282832424,0.4249255079610056
