Time_Sequential,Time_Independent,Time_Full,Time_Chopin,NC_Sequential,NC_Independent,NC_Full,NC_Chopin,MM_Sequential,MM_Independent,MM_Full,MM_Chopin
30.762525665000002,20.412177209000003,0.0,8.819883791999999,-126.05209710387614,-126.65194317281157,0.0,-109.95414432500557,0.4483364078685121,0.45274072922036723,0.0,0.4066156642183044
7.605845918000001,7.336125042999999,0.0,6.263544002000001,-125.2427429974812,-126.04384933286516,0.0,-114.891232049388,0.447437151253833,0.4470470479204992,0.0,0.36743759657396025
7.9040490839999995,9.693111168000001,0.0,9.139613502,-126.00113802499445,-125.06805650511923,0.0,-114.03593735445456,0.45362822819103354,0.4447636804401657,0.0,0.37580123397652027
10.576524711,13.349274750000001,0.0,7.161950999,-126.17161837318277,-125.24583510617975,0.0,-111.65164971649725,0.4504293932372253,0.44810147595563504,0.0,0.3780566952663489
7.802813457,7.499569832,0.0,6.3911819990000005,-126.36813632038448,-124.49438533910438,0.0,-114.5149474245131,0.4459422725571512,0.45382899124791526,0.0,0.35337658535476485
8.369284165,12.043866999,0.0,9.778994,-126.83293205379252,-125.03462174448278,0.0,-115.91443311551379,0.4455623693188674,0.44727481522725204,0.0,0.3653941428540429
18.234670958000002,7.502795293,0.0,6.892913582,-125.05722792638332,-125.55410924746106,0.0,-116.39723393435199,0.45041909759265675,0.4530073600228069,0.0,0.3632216832897435
8.587821623,11.251495545000001,0.0,8.514853624999999,-125.9085077588848,-125.9628682030003,0.0,-117.03312417958234,0.454826944850643,0.45610051414184305,0.0,0.3910529000934651
17.915980541000003,14.031900751,0.0,6.276063167999999,-126.37814681366476,-126.66411277751801,0.0,-113.8088291795288,0.45148827163093097,0.45227795832299866,0.0,0.37134561426063606
8.093716962,8.201731707,0.0,7.893096458,-125.46772606485447,-125.55414524260142,0.0,-115.0137020123676,0.4468690025080866,0.4431193214113218,0.0,0.38304266842488466
10.401345666,14.481462292,0.0,8.159656834,-125.49065450000852,-125.74798879369146,0.0,-112.25512323795434,0.44466770732925254,0.45242862930889627,0.0,0.36393424866699625
8.181732456,8.121958541,0.0,8.063971082,-125.18489128148755,-124.9900965295369,0.0,-114.34747590981587,0.44861426166641694,0.44730589171064367,0.0,0.35929157207861495
8.941529873,13.648735377,0.0,11.553070124,-126.01504867481236,-126.11336974845054,0.0,-116.64350529327173,0.4481001137174053,0.4481523650757572,0.0,0.33456718711688394
7.692281833000001,7.659851289000001,0.0,6.543576501,-125.74698298913994,-125.9655508332263,0.0,-113.31702542915967,0.44605756525806217,0.4465718958527801,0.0,0.3750035822524753
8.639925876,13.567565,0.0,10.591793626,-125.82975637466674,-126.26110015225912,0.0,-114.8520583392771,0.44328788599366586,0.45325802720024216,0.0,0.38214666882236237
7.645351753,7.85111308,0.0,7.497610752999999,-125.95077278425968,-125.15483491146048,0.0,-113.29535618980697,0.45357510067916884,0.4486053639315457,0.0,0.3884057603426811
8.9102315,16.331676874000003,0.0,7.399759831999999,-126.06349472718057,-125.58727619629228,0.0,-115.75184054570856,0.446682841017311,0.4506476859263868,0.0,0.41006047459305417
7.571173207999999,8.009637248,0.0,7.394387916000001,-125.95010556396788,-125.66718231222804,0.0,-115.28551705273848,0.44361109830071177,0.4548463084476841,0.0,0.3632635103065965
10.040841247,17.193951417999997,0.0,6.360055416,-125.71978357694395,-124.90774854143727,0.0,-112.13934301549155,0.45381818092852405,0.4467887350723412,0.0,0.33954541943209027
8.174763875,9.125582626,0.0,9.854133833,-125.38104093035881,-125.22333566473009,0.0,-112.58732310871157,0.45406065650464333,0.44462587763044487,0.0,0.40552246634104605
29.958463079,12.332695089,0.0,9.358856626,-126.21649356102533,-125.29960779431767,0.0,-111.30449709343148,0.4505629205936445,0.4441954327009361,0.0,0.3772257116629374
8.184480290000002,7.552565164000001,0.0,6.6381754189999995,-126.6288643921231,-125.60974461799744,0.0,-110.54529649745628,0.44797216287001296,0.4518350172694957,0.0,0.36702209050754947
8.002778,8.779239623999999,0.0,8.923415748,-125.45380024705862,-125.81953760698508,0.0,-117.19493671748485,0.4510452237379502,0.44476108770030265,0.0,0.36164251744381065
9.369910663999999,9.862228335,0.0,11.530090544,-126.63969485481684,-125.95593303545733,0.0,-114.50808441125423,0.4548334780324156,0.444302219497331,0.0,0.39043561711389063
7.822215250999999,7.80804604,0.0,6.264181207,-126.58505158728181,-126.19905430206786,0.0,-113.12618871120907,0.4525795381867569,0.4495603478192081,0.0,0.3762794205214297
8.263561333999998,9.135420498999999,0.0,8.757288332000002,-126.07093259154215,-124.84705417250794,0.0,-111.88058523101367,0.4496183347765149,0.44342589015788686,0.0,0.41085123690637293
