exprid,Time_sequential,NC_sequential,MM_sequential,Time_independent,NC_independent,MM_independent,Time_full,NC_full,MM_full,Time_chopin,NC_chopin,MM_chopin
1,8.112845960000001,-125.96163471363883,0.4523427567658822,6.494985374,-125.90247739697081,0.44443638736907176,6.777483996,-125.73440698465397,0.4440836642511194,6.086114788,-116.88361737440673,0.3862501844009777
2,6.483115415,-125.6780055246149,0.4615577411593883,6.915778119,-125.42965232453801,0.4494979970766202,6.77836941,-126.8607421451749,0.44972064268435086,5.770926127,-112.79237307487645,0.39476133766041765
3,6.877813466000001,-126.28526904311153,0.4534536741959432,6.3664835019999995,-125.46380625639084,0.4470566177324035,6.771715425,-126.02978200458367,0.4554688740029255,5.788836666,-113.55719418562023,0.37182530502741096
4,6.382634166,-126.04967919309294,0.44254519623741306,6.212229955000001,-126.2126701402931,0.4527949677235408,6.655784922,-125.11300960518965,0.4456412328139146,5.734176166,-114.22499697449602,0.37031594488870956
5,6.542823253,-125.74558248129884,0.4499864240188566,6.640372295000001,-125.75292357757077,0.44942470735931417,6.841949378,-125.01439809897128,0.44956643059589463,5.752001246,-117.81140421168186,0.3886563260158258
6,6.35547284,-125.83545447387982,0.44659940466760495,6.825002876,-125.91468145527446,0.4494668253438504,6.591914416,-125.23771816590016,0.44764212824946714,5.771669459,-117.06589367468553,0.37530995174849946
7,6.729628541,-125.32116766334391,0.4467575307093544,6.606664293,-125.2387092665153,0.44911758195711127,6.9090333379999995,-125.13230870975427,0.4530957328318222,5.7932124179999995,-113.81908080467755,0.38907409684340605
8,6.568243663,-126.28547237225544,0.4418408785290247,6.460452796,-126.80887020217993,0.44946846810471897,6.801697871,-125.4290997478223,0.45604190343307344,5.751110174,-118.44540016739191,0.4009771138842916
9,6.739747249,-126.8137686905331,0.45094082761390597,6.526753208000001,-125.48132164900908,0.44206231806107343,7.057825166999999,-126.32004151210036,0.45523930362459303,5.843414577,-116.06766660166068,0.3822665069352984
10,6.7717945859999995,-126.29603437990366,0.44100568158431225,6.7779611609999995,-126.27069610339534,0.4401872148497372,6.756603919,-125.06604540859993,0.451498443911789,5.827375787,-119.46263222292146,0.34983846770211185
11,6.798711224999999,-126.0149223284964,0.45222018504992645,6.819607874,-126.13272329289295,0.4514535354039151,6.8686576640000006,-125.16804210218102,0.4492588448862913,5.909096123,-113.39460260970513,0.40929913676447555
12,6.57325887,-125.59938247137697,0.4591611242561507,6.8063735439999995,-126.43424256340992,0.44462321208957195,6.881603742999999,-125.07959212811888,0.44432370588266823,5.8020050340000004,-110.35661511624598,0.3986091830223525
13,7.049515035999999,-126.74880131099626,0.4483244609420508,6.9015804119999995,-125.6511174413799,0.4514519657707372,6.876080550999999,-125.47309043817579,0.4465262443836441,6.128950625,-110.61055274849804,0.3736060189638689
14,6.947894913,-125.83510240961931,0.450105698238355,6.807154914,-126.20737968197027,0.45516362376467173,6.903998708,-125.52843906787368,0.45423055802933493,5.837181837,-112.78176892625262,0.35128058799346934
15,6.398693426,-125.28309443444489,0.4487067904138292,6.902317331,-125.49801414691498,0.4487031903631757,6.823975077,-125.38894289347229,0.45541681181752375,5.839587205000001,-111.73408889199851,0.4058580541769167
16,6.571096472000001,-126.1850021916144,0.4499122169536185,6.763960209,-124.73882749711734,0.4603903826203555,6.090851499999999,-125.55980237374516,0.4529679053121545,5.821834377,-114.19168118699216,0.3635553313872489
17,6.47733783,-126.58087071393139,0.4498760092853074,6.797604752,-124.54104358800824,0.44488934681224457,5.932630795000001,-125.40416192462044,0.44401662234523614,5.870205707999999,-111.4573885867238,0.3354701594218148
18,6.110449207,-126.18660659560948,0.45491085945457166,6.738589711,-125.39140780954052,0.4488747738337243,6.488760323999999,-125.69298207758567,0.4569437532715498,5.842265748,-119.23920479642784,0.3888062174086939
19,6.564428251000001,-125.78563748683685,0.4463521407494231,6.845676029,-126.07671360767642,0.45367248350715905,6.617936706,-125.86344948735399,0.45285129199347735,5.817348165,-115.07929059803865,0.3416844393492514
20,6.290792999,-126.37009944208452,0.44979584244942034,6.211064587,-125.0217911002775,0.45386821562508106,6.75012317,-126.42915567129263,0.4471477359005833,5.896425084,-119.12247366812423,0.3642705518136293
21,8.556656953000001,-126.40838166167045,0.44711247764508033,6.818210213,-125.41018967463694,0.45411985728321774,6.8517695839999995,-125.30147308092361,0.4500839722937223,6.046587042,-115.10842795840342,0.3529350681136034
22,6.751914456,-126.82864441753479,0.4539964366060602,6.8392611720000005,-126.37721231459544,0.44844351192671006,6.835288380000001,-124.37368138840841,0.4537617861779545,5.692206541,-111.91982213275041,0.37465297175604567
23,7.081857962000001,-125.25338957229864,0.4523967421040559,6.625330341,-125.58846164535532,0.4476688693638503,6.662975245,-126.56191542095443,0.4523211431862949,5.781815879,-113.05414727652115,0.40969851492069265
24,6.510684919,-126.10599119284123,0.45097589094949364,6.560173165,-126.04247430340358,0.44559662940384615,6.594741577,-126.11039441625981,0.45018979604475645,5.764752875,-115.71428198258731,0.3497735417532327
25,6.459183661000001,-126.78782273266087,0.452479642744535,6.520853418,-125.3633651463442,0.4515987626537055,6.761693585,-125.97282176198993,0.4465180417668947,5.696161375,-112.65970133162224,0.3982478695741316
26,6.2732808349999996,-125.89900803620516,0.45205261747388675,6.552370496,-125.34027823934979,0.44746845252197176,6.805528298,-125.9474120042824,0.4541682207666606,5.800060708999999,-112.80047091260153,0.36941829265772713
27,6.932104047,-125.499853252503,0.4500543783667169,6.192537336,-126.22488255590108,0.45035091594911303,6.608476122,-126.28155991850333,0.4478815722414614,5.658364208,-114.98123883228307,0.3701815027656208
28,6.8966725449999995,-125.62273883169199,0.4522792638768913,6.25292058,-125.42680899001864,0.4543185832178859,6.7372971249999996,-125.21326080708081,0.44720064090423844,5.8395930830000005,-112.97404189659366,0.36666406583668165
29,6.748996998,-125.92413223740648,0.45245081368453277,6.298904375999999,-125.22608714483297,0.4482074964145141,7.001152708999999,-124.85752014050446,0.4480818812561786,5.783660587,-113.04062114000695,0.37921461566562725
30,6.796284087,-125.78360280087645,0.4495506477933135,6.805660371,-126.26974091843478,0.4468582928920229,6.9286682090000005,-126.16428015224128,0.44423037139270566,5.733897461,-113.62273049175526,0.4010218106605843
31,6.691371491,-125.39005956603873,0.44470189758167167,7.000267162,-126.35263956944294,0.44455177793940653,6.931288709,-125.69478162872994,0.44928227356513684,5.778970413000001,-116.07975596489868,0.4091127183600083
32,6.912919169,-126.12147366869274,0.44596163702133856,6.754030538,-126.96416828026967,0.4495588593750235,6.8107866249999995,-126.16233791642107,0.4523416098797737,5.816599081,-111.90168270830087,0.3459596424657905
33,6.7940242390000005,-126.03993079000676,0.4493192331488795,6.184254084,-125.7275238073224,0.4574069724960734,6.758374291999999,-125.49112736358991,0.4469867099164563,5.862496959,-114.59642993353876,0.4110783357661921
34,6.618682244,-125.05332490472543,0.4506630811473873,6.251779244,-126.31660245215248,0.4426519058960341,6.62284825,-125.57267225879407,0.4555553901539905,5.728469711,-115.7223126330246,0.3674763358751486
35,6.618134872,-125.23827658340512,0.44581279941436397,6.670495667,-125.58400774897828,0.44347236669770485,6.651270667,-125.71182429787632,0.4533363173498228,5.863604045000001,-116.30353823028452,0.4083543021353564
36,6.524382449,-125.47708378456812,0.4479643113823414,6.452165796000001,-125.05959981654048,0.4516732874093653,6.643809121,-125.53769420656666,0.45884273800277425,5.861540456,-115.13118438943923,0.3943120207794639
37,6.304533879,-125.19608421502973,0.45683854345153363,6.316223378,-125.6723698187406,0.44320403737950065,6.658046376,-125.7111837996332,0.4504534104769355,5.829213626,-115.05105332298282,0.3669722907720309
38,6.641872794,-125.59807888279008,0.45839700916143444,6.073590421,-126.1225215685881,0.44919061610044764,6.678315917000001,-124.85124919274946,0.44642763596221074,5.795975086,-112.70303945522946,0.3687494539578654
39,6.414292133,-126.95443146954999,0.45043656382306857,6.4189103670000005,-125.76737329327807,0.4533008165260325,6.453498328,-125.30756170259498,0.4444962698051668,5.892612333000001,-114.86281452276025,0.39323634974279265
40,6.72624117,-125.83103945569619,0.4559314747436423,6.532535178,-125.60751329676303,0.45381658027123045,6.429861406000001,-125.34476816392262,0.4500650533497441,5.9029423350000005,-112.35961970534444,0.37725499310807686
41,8.287602915,-125.59148248222864,0.44766539522249627,6.473661453,-125.59943444900497,0.4475515431121958,6.894215929,-125.24848888977722,0.4534337239623649,5.936497631,-111.28930564605253,0.3772496136487664
42,6.455734907,-125.1183787513674,0.4472370593300698,6.137979838,-126.41658650168472,0.4618955918747788,6.945353751000001,-125.9860784681393,0.44940182475280477,5.665513162,-112.14522287649652,0.35938826844355265
43,7.345090539,-126.69052445988274,0.45128625767006814,6.397112666,-126.67782079419743,0.44907388390339487,6.603866125,-125.49382568569798,0.4568881669291213,5.7800811219999995,-111.17031695939444,0.36377699275132835
44,7.01167516,-125.91192586336038,0.4450095943854625,6.586361383,-126.97490923589159,0.45446340046204625,6.766328080999999,-125.71741943480612,0.45024328161865534,5.770503538,-114.41082635356203,0.37639362730128556
45,6.415034745,-126.11871825141597,0.4482991511625674,6.406457715,-125.41601961337604,0.4475272647048869,6.672507044,-124.97841631173891,0.452271887252396,5.696144046,-115.95646018427027,0.40991046428173245
46,5.9147810430000005,-126.14145554569312,0.45290713896869805,6.436489330000001,-125.51458651442013,0.4519216368521462,6.790033495,-125.891629889617,0.4498411199342721,5.638985128,-112.81146108387124,0.37143447189174644
47,6.860254167000001,-125.90218074176097,0.44825372276704006,6.405726789999999,-124.96178572145158,0.4513709646943751,6.73071079,-124.56237263886659,0.4470623539511662,5.777827584,-111.40040706085436,0.3776409623478149
48,6.758546794,-125.6972207705871,0.4506868801286163,6.168327044,-126.21161215568873,0.4483514941440764,6.436766373,-125.469922750077,0.4526552070103762,5.737257291,-117.45801945705495,0.3876076078608035
49,6.427325915,-125.8771973846538,0.447381672876193,6.654378368000001,-126.41129110227477,0.4537102768161626,6.505552209,-125.38715275301519,0.44994639833983563,5.76087933,-113.19642147196423,0.4101593891967941
50,6.976436551999999,-125.44033640980466,0.4444866806424594,6.615204334,-126.03985995998472,0.4517150318605016,6.926639084,-125.9695193828785,0.44499651551409547,5.654735498,-115.16143918448768,0.4148702081764536
51,6.896558796,-125.99306843202388,0.4515319300188927,6.463958916,-125.39882509587437,0.4527853263644629,6.933434923,-125.28378601988234,0.4465307390189838,5.792884622000001,-112.9456044583595,0.3696504560584263
52,7.030720952999999,-126.37952865311459,0.4520901894512317,6.55168479,-126.08958040532707,0.4481493109521091,6.787929371000001,-126.28088429665185,0.448899641607148,5.73328079,-116.61706906112795,0.4013875509079971
53,6.646658996,-125.32928137886414,0.45615463078984153,6.946104289000001,-125.17710290166099,0.4642727627960065,6.64269279,-126.1291451222526,0.4497384496761597,6.147516041,-114.34435864413302,0.40749850057801196
54,6.396526169,-125.9860350244932,0.45111502353555827,6.896861711,-125.07555230832943,0.4509586982446745,6.517649877,-126.33691030482781,0.44885055386241324,5.773518629,-114.70574560416938,0.3864420085105719
55,6.812605038,-126.3630124025172,0.4484613083843863,6.599964247000001,-126.31462092779527,0.459869332492873,6.696313537,-125.96556533621987,0.4521023341888373,5.835552537,-117.23274162130909,0.4134039226762595
56,6.593836834,-126.18465862980112,0.44387115053425497,6.550402663,-126.14804503708332,0.45574967777767017,6.549761911,-125.30036943044996,0.4527121402893602,5.840608711,-113.75742421965649,0.3559378972142925
57,6.650953257,-125.79715808930501,0.4518501148064461,6.75642825,-125.41339089519825,0.4503946064963325,6.275569792,-125.88123588660967,0.4480601679325359,6.151936753,-111.59770097193058,0.39659628096055943
58,6.486505287,-125.29289283481602,0.45228030635835414,6.484132461,-126.22963696183157,0.4549373336409968,6.716213412999999,-125.38306690317883,0.4433612866758999,5.862975292,-114.3368787990658,0.39025903252250066
59,6.728032832,-126.07957532769154,0.4504724414343196,6.504272042,-125.27664556167589,0.4566963843528147,6.728787707,-126.11772974717213,0.447143474936813,6.218239167,-113.11155414479825,0.36051243860498305
60,6.687933159,-125.94445438291905,0.45037911225939486,6.269750163,-125.67265134443173,0.4534110554501814,6.586541004000001,-126.33009485043713,0.4528376054130698,5.842319289,-115.49927223882466,0.3601875408453743
61,8.328373362,-126.03396097073025,0.4426297046137313,6.450890793,-125.32820019431357,0.45200804552132867,6.96311317,-124.94188028695595,0.45371789273939206,6.084481086,-116.4351766851606,0.33518289717771516
62,6.365870501,-126.6279762467256,0.4469165397407765,6.73457208,-125.22801953326584,0.4491987236165811,6.880066331999999,-125.8439078210837,0.452431782185768,5.617238206,-117.609283668109,0.3832429041422891
63,6.917959165999999,-126.20387536152347,0.4532239421210912,5.933276667,-125.65199121414412,0.45653660321172745,6.563140208,-125.33600104096689,0.4471706381464338,5.755441753,-112.22438395063061,0.33901702230994935
64,6.8940509919999995,-126.17582485092811,0.44703079710780946,6.866958458,-124.64750268175953,0.45321463418047514,6.5417158440000005,-125.91947318207795,0.44960807146797266,6.026814916,-114.1851787902398,0.3883721101492132
65,6.56065242,-126.56275774509409,0.44725607953498814,6.76147175,-126.12310695400217,0.4497239486011112,6.885986963,-125.10615478145077,0.45781803072125155,5.710158581,-112.500253945649,0.42074235490713907
66,6.121454885,-126.90801569816315,0.45707019054174197,6.561772085,-125.00263781312016,0.458000036413551,6.850641791,-126.03149542637439,0.4503325422411864,5.6514537879999995,-110.67215748713751,0.3877324587031125
67,6.764581881000001,-126.51752168253404,0.4530851372131567,6.537635536,-125.00162946717842,0.4383499569786862,6.736017046,-125.47589474867208,0.4477760308077822,6.020266913,-112.23096927418996,0.3780176704648761
68,6.742725667,-126.08543133095986,0.44791670705531234,6.52965197,-125.89363141794445,0.44141860211872025,6.565140039,-126.26398939976102,0.45199793328483706,5.658003624,-116.5506823359936,0.39541711264807755
69,6.410833661,-126.16253199558047,0.4484099522034416,6.322951755,-124.96022165493319,0.45114376846772536,6.762073167,-125.74195890675732,0.45740202504704675,5.819384748,-113.12498389712921,0.3908068273071488
70,6.849337542000001,-125.78353710655715,0.44940758061376135,6.798034547,-125.60919804239985,0.4497981735207809,6.975389703,-125.74356733766355,0.44928163885772504,5.77890075,-112.59447229612879,0.37449017946997915
71,6.66044951,-126.17021408831735,0.44447794566163146,6.939452824,-125.53699188847116,0.44648419177029874,6.890141836,-125.58963633130905,0.45723283909054563,5.834751457,-115.61060094939164,0.3686535080686365
72,6.923797371,-125.35784204967626,0.45244159473206297,6.416775208000001,-126.78519652743068,0.4460680171894431,6.805770625999999,-125.48067265931151,0.446817505308137,5.768641499,-118.08207209065381,0.3731910513141975
73,6.768701287,-125.60466540439681,0.45044463736794527,6.4496820050000006,-125.19996905040901,0.44248673281866147,6.876792583,-126.01670235643998,0.45358674502558205,5.872929205,-114.34179894462314,0.38297275908784656
74,6.518072406,-126.46025577756174,0.4470780948037217,6.10949208,-126.02429372559125,0.4472258806778291,6.533886212,-125.67459175160975,0.45173772593112366,5.878719542,-109.28379410674826,0.3931369671942928
75,6.554155166,-125.37291786276977,0.44257974192293464,6.459986336,-125.1799041977683,0.4541797331021395,6.828542754,-124.59075224585017,0.4504905227849082,5.759173375,-117.56042091579667,0.36102609603932234
76,6.2534046199999995,-125.63078791771319,0.45356742055281796,6.7579690349999995,-125.8567304400227,0.4483241040994888,6.770086293,-125.97460398113567,0.45003562810031517,5.89928354,-114.21828542078046,0.36521819761805363
77,6.075542162,-125.98406273357534,0.44627491823930987,6.870339865,-126.12856191887644,0.45151089885871376,6.787338889000001,-125.54051719858383,0.44640328665003337,5.891787084000001,-115.07066605471039,0.3672118671706671
78,6.641074499,-125.93364836202964,0.449223030305054,6.6779192510000005,-126.26604579241645,0.4537062666323898,6.938770915000001,-124.95090683906962,0.4537354017825176,5.872981875,-115.89140779488649,0.3963473547554145
79,6.620509284,-126.37965820814911,0.45475834107484847,6.544413672,-126.14814496251496,0.4531734606776123,6.697457211,-125.99302944816456,0.4476063282621024,5.899441207,-111.7830348479991,0.37658224923295713
80,6.808305822,-126.17179145348588,0.45094245513827713,6.46315871,-125.02825247392755,0.45024817071356177,6.267223956,-125.05636173538505,0.4512923289484798,5.853113959,-110.95102245319474,0.40350870274905654
81,8.365412787,-125.74893190287733,0.45044611206467916,6.785038623,-125.42286893021368,0.44456814905817954,7.069038119,-125.6291335464478,0.44911530464789473,5.935422413,-112.78153759129982,0.371738794285479
82,6.850037754,-126.39809998274586,0.4416953718895458,6.262355843,-125.8170638615336,0.44668592571247534,6.867777217,-125.86211503209216,0.44860550537761584,5.601905385,-115.47168318300548,0.387769727085762
83,6.898693285,-126.07103278352415,0.45456978504883216,6.7658024150000005,-125.56141826782702,0.45118838850725285,6.860509991000001,-125.47639448182139,0.4451867735516419,5.66202496,-113.11080837941964,0.38610284288953023
84,6.675544579,-125.95399120226139,0.4481278622679775,6.7105562910000005,-126.17637638832947,0.4496803067289893,6.733339793,-125.01153322635741,0.4454450785530676,5.651631623,-115.46846253005545,0.36134159719395753
85,7.048332538,-126.19534432736307,0.4523035316487267,6.6036733000000005,-124.89152899118852,0.4529519685980279,6.881423629,-126.23864457858713,0.4474355079588799,5.751707036,-116.38138148008711,0.4016809899527037
86,6.683020081,-126.036732776765,0.44460209811320595,6.585835377,-125.8924161189075,0.4480147277814277,6.535955827,-126.40025336146435,0.44742684846095404,5.752531749,-110.99725709798591,0.3561252124402834
87,6.8196255379999995,-125.64508749487734,0.4485123129907779,5.920318540999999,-125.80934422575073,0.45784321007459633,6.922315712,-126.35529114986178,0.4540643387056262,5.779580169,-113.1553152617476,0.4045094298737983
88,6.931292581,-126.7164700052623,0.45063103048185804,6.339797794000001,-125.89260945980811,0.45108737796166204,6.618673165,-125.89361346608909,0.4449485018323399,5.811479619,-112.51171944469601,0.42260662947140815
89,6.928143797,-125.13504337996972,0.4467351302019593,6.44987637,-125.98848229201128,0.4452247317593552,6.796673538,-125.06403689790095,0.44774480991144633,5.753797621,-114.60876864182873,0.3952113216833482
90,6.406703514,-126.16038164512157,0.44866827581569574,6.864720169,-125.1599175325607,0.4520974077369698,6.745744300999999,-125.49929246122304,0.43973005942093424,5.771748247,-113.23343705038414,0.4007746711897089
91,6.384057201999999,-126.54346437515494,0.4438166908688526,6.650470544999999,-125.64476867923199,0.45167138428262477,6.6794960109999995,-126.06775277872045,0.45068210977513035,5.872023833999999,-112.23338236415518,0.39175161695325206
