exprid,Time_sequential,NC_sequential,MM_sequential,Time_independent,NC_independent,MM_independent,Time_full,NC_full,MM_full,Time_chopin,NC_chopin,MM_chopin
1,76.115698,-126.75783112017731,0.4424738528136275,69.3007816,-126.71957213348084,0.4356282195680651,56.496936600000005,-127.36005772850248,0.45399205628827055,42.0513945,-124.97505150092609,0.4370920168711618
2,81.6956748,-126.86528711392182,0.4525219584072262,69.2633217,-124.85931813389624,0.44263800432537836,63.563449999999996,-127.33483401045316,0.4391685953802905,52.73016560000001,-124.79603621327362,0.43640038078412796
3,81.2663651,-125.94592796361435,0.4488835729457086,77.1751392,-126.33940105088733,0.45986391144832867,74.3403042,-127.78843157557135,0.45205506701965903,52.40314769999999,-125.35403032594338,0.4424567633469602
4,84.1651045,-125.68245768658257,0.43782651560608654,69.8212982,-126.63529046008631,0.45124355174845565,67.2263144,-126.075836135172,0.45210161012056405,52.6424751,-125.21975234588278,0.4542913000115302
5,76.8066873,-128.25135313827377,0.44221743401824387,69.9550107,-128.07133130969703,0.43209153667536343,67.57847319999999,-130.5638192455978,0.4455513208696895,56.22964339999999,-125.0821268671588,0.44505185171693507
6,81.9962602,-127.01673386348565,0.46452433334783017,70.38600439999999,-127.08107947988961,0.509025407921762,71.7022344,-127.35946288382414,0.4468553805660684,55.3050458,-124.97051228914279,0.45175269512848376
7,79.1286247,-127.8700744904732,0.447308798928385,69.8220874,-125.29696350346855,0.5193366598057723,65.330179,-127.86630949436186,0.4444538606104196,53.936669699999996,-124.46428946884886,0.4514560621292037
8,76.9497054,-127.90365657105839,0.4449888698150666,74.6987704,-126.227909166416,0.4488272980225303,78.6656417,-128.85556227659268,0.45155200311860455,53.4999394,-124.98712962306728,0.44931356696810765
9,82.0882028,-127.77865675247989,0.44450860912424905,68.8262647,-124.69775210833319,0.46730495916373804,73.7383347,-131.72153752927585,0.4508992058550811,53.4100229,-124.54788291390726,0.45288227977524165
10,79.035424,-126.74446741829284,0.4620530234107133,68.4944876,-128.4722415272642,0.46824580649715186,70.6802524,-127.5991763398913,0.4377529040831102,53.714002,-124.88603823092173,0.43773524488866183
11,75.01338969999999,-126.60162784452974,0.44358659444245624,69.0127962,-127.60695514496955,0.4378556397073358,66.62124800000001,-129.262427335866,0.45901284917596635,52.03087330000001,-124.4788210210244,0.4468549620852724
