exprid,Time_sequential,NC_sequential,MM_sequential,Time_independent,NC_independent,MM_independent,Time_full,NC_full,MM_full,Time_chopin,NC_chopin,MM_chopin
1,8.034915576,-126.26258655892306,0.44081202002678127,6.731044625,-125.70887278802194,0.48442470461913395,6.920631322,-126.2768734104852,0.4523481078148647,5.990696626,-114.86239462875902,0.3821195064359601
2,6.678912581,-126.63629038719598,0.4453157528094418,6.161692212,-125.73860656892023,0.46475655226777635,6.111871291,-125.3172087304264,0.4401921554190408,5.735841254,-113.90978891593122,0.4016551714049009
3,6.959385623999999,-125.49508383332687,0.4437833766195813,6.62121741,-126.31304566540204,0.47208129580311026,6.959309253,-125.35784252261216,0.4477215838211006,5.694471084,-114.21133905661539,0.42653707844558403
4,6.568278869999999,-125.78268781448305,0.440776908246713,6.913072916999999,-125.8455113928979,0.4499309502303621,6.768001592,-126.05593517457827,0.4510226376302928,5.612126829999999,-113.91772868047744,0.42841241722238227
5,6.38885117,-125.4124895634859,0.44516379285443053,6.95344855,-126.70806380515383,0.4536430455204987,6.866082659,-126.49005353397744,0.45723026780391296,5.798639582000001,-112.31186841491072,0.38563056147190805
6,6.757804584,-126.15449030417614,0.4550888376266857,7.419592409000001,-125.52169430989434,0.4450966009743931,6.689780583,-126.07303486744681,0.459976654102322,5.517481333,-112.5542171208028,0.36189886451224695
7,6.820335751,-125.71750969463812,0.4489136451844267,6.802433208999999,-125.23081923217798,0.45778647181749865,6.87267671,-126.41983729873195,0.46203311056059226,6.038213828,-115.92058470416188,0.3951652885212679
8,6.765834751,-125.81850346254497,0.444278924406134,6.488066872,-125.63698915064481,0.45890809864668985,6.91406104,-125.96421724502608,0.45877336261849233,5.728238671,-109.51435041875327,0.36776419027395435
9,6.918751077,-126.97676769871966,0.44717505741738517,6.309014702000001,-125.28675158579118,0.4489676477645676,7.124314508,-125.99018437751576,0.4502672120276239,5.876132414,-112.7724538045211,0.3679284492722292
10,6.971873088000001,-125.79343713798987,0.44456417652008406,6.623551504,-126.68469298986119,0.45589502130246573,6.786220999,-125.56902847800272,0.4439872121077819,5.815591413,-118.29011254900811,0.397024020151035
11,6.990234905,-125.1049159596982,0.4443597908036622,7.150987951000001,-125.24492097213498,0.46809431719092853,6.981723377,-125.81683135594065,0.4543033494903119,5.827177331,-114.92104863880087,0.3978740119347474
12,6.712143374,-126.3319465232123,0.4518367246481011,7.173455831999999,-125.73598154266686,0.44958614394344565,6.874982048,-125.12163039041249,0.4592824156577274,5.880846124,-115.07353290258663,0.3517832739317497
13,6.921122045000001,-126.84950126962812,0.4373834610626856,6.838789994000001,-126.33710369235894,0.45286700720154605,6.839075087,-125.35522191066407,0.45216108270047517,5.87717187,-111.4094059637556,0.399475968192863
14,7.078527336,-125.76225868336303,0.43977274513569686,6.7983852570000005,-125.67214115997047,0.44584549043655064,6.687292138,-126.13977535020081,0.45115128835676166,6.023002164999999,-116.57363585409041,0.36936862721284824
15,6.914972203,-126.9572036065262,0.4577618780753191,7.319133957000001,-125.51135618255717,0.4574819157313777,6.779396643,-125.55420651500538,0.4531134443578466,5.771977456,-113.50728781548655,0.38141428009777534
16,6.970403297000001,-126.15204674767527,0.4393145391764793,6.947247711999999,-124.91963531875231,0.4669128855613378,6.904130623,-126.07301186491114,0.4475513927584224,6.246617294,-115.58833648762429,0.3689798498541878
17,7.089678083000001,-126.71156327380889,0.4580884364903466,6.82762592,-125.02050493978784,0.4466068774466061,6.8926946629999994,-125.4127035049892,0.4523124623751338,5.891733250000001,-113.96574217874506,0.37421971958787914
18,6.881946581999999,-126.77745010186312,0.45582747095983656,6.6741517120000005,-125.60166876583817,0.4306756599873398,6.803025788999999,-125.7509220300731,0.4530962616925943,5.829417712,-115.72796912368088,0.3692934282497291
19,6.542596578,-125.77073993548466,0.44907525507886126,6.120039211,-126.46330812015334,0.44647283588170356,6.809149327,-125.7888021656031,0.45671156399894447,5.8871787069999995,-113.36872358742337,0.3970537207971677
20,6.636918001,-125.59829779142518,0.4500594814300377,6.784552248000001,-126.00740437753277,0.4565608674151424,6.635698784,-125.42017632492696,0.4538359027157348,5.822620370999999,-112.17477977815199,0.3628073064755225
21,8.382568980999999,-125.94581907397288,0.4422270813413633,6.51266163,-126.05940619271895,0.45877653515128025,6.5506830769999995,-126.07481747122418,0.4631654785550741,5.716319421,-116.29065850947204,0.3370116166488639
22,6.861683826,-126.54934285235923,0.444770267768139,5.846050587,-126.54968726148155,0.44457969210613446,6.270570957,-126.15714061082602,0.47504111540715144,5.535946169,-113.60609366654577,0.3747838035321922
23,6.902966252,-126.04992255206783,0.4490708311138324,6.3480154959999995,-125.9396475813478,0.45127607070738485,6.978546955,-125.80426800571614,0.4503790590464738,5.697823667,-111.17600582927973,0.34668150152278066
24,6.963853007000001,-126.55992082405326,0.4445925343023057,6.903609091,-124.74447269643406,0.4469345463454869,7.233384331,-126.29638769373561,0.44128058708654433,5.736184498,-114.39338184712338,0.38462198319776786
25,6.9260774529999996,-125.42243664071174,0.44193131679998826,7.47281049,-125.8888355104269,0.4458386983784158,6.553235785,-126.85503696216705,0.462341199380025,5.733602124,-117.88662298002221,0.36570123716509095
26,6.704245587,-126.33085197157946,0.4428892051905856,7.0797876209999995,-125.42530412268181,0.4676504141260999,6.469655827,-125.39458865096655,0.4535002538550619,5.712413956,-117.11216497370833,0.3784560321235144
27,6.99969429,-126.26466204077254,0.45296418404678573,7.178669375,-126.38441282705436,0.451470173768839,6.946476199999999,-125.9732217193466,0.4571716071162467,5.752797207,-113.44539475197568,0.4200056683872756
28,6.618108509,-126.0493124029608,0.4532078824768712,6.544410706,-124.99506010219612,0.4509657660373531,6.684478368,-125.424295112337,0.45751910850238053,5.769380542,-114.6585154312017,0.37633969097245357
29,6.797078749000001,-125.93420529617433,0.453882253983668,6.049954167999999,-126.77635714596266,0.4531040233836199,6.367178254,-126.00827835562775,0.450928635075812,5.743594086000001,-116.55906942960476,0.39299663107143845
30,6.849129458,-125.20514727019628,0.45175822721511083,6.261186369,-125.95584553480631,0.4475878136892154,6.610354245,-126.20069338821217,0.46438884996875635,5.6203186259999995,-111.87788926568854,0.42555884685886586
31,6.806650842,-125.66713961513298,0.4530721385434444,6.488698917000001,-125.64001765011335,0.45714223008759625,6.883812417,-125.53029788811332,0.4555619906312629,5.80237354,-117.32100384940784,0.3725497561597542
32,6.84618908,-127.34304874242228,0.45689157545246195,7.263831211,-125.70569679651494,0.45777438061006936,7.240602834,-125.10888789721108,0.46968036196854435,5.892448794,-114.20855245862019,0.3657205906902087
