exprid,Time_sequential,NC_sequential,MM_sequential,Time_independent,NC_independent,MM_independent,Time_full,NC_full,MM_full,Time_chopin,NC_chopin,MM_chopin
1,8.141104296999998,-126.85285764044932,0.4466046515959813,6.296025417999999,-125.23621750901152,0.451726943579788,6.541085666,-128.05821072187973,0.4536876900897955,5.923571666,-115.55392531739027,0.4152400965171863
2,6.483472164999999,-125.77275943484939,0.4440979613193541,5.421285457,-125.51703984413228,0.4505753325755808,6.230495664,-126.0963018126893,0.45233211424498065,5.713836252,-114.25288012753565,0.3989804302430633
3,7.294278868000001,-125.9252788501052,0.45072339618430446,5.3591953000000006,-125.78440855975138,0.44969078858452527,6.063705754,-124.81104876258023,0.44519152365166326,5.778028044,-113.50184610321396,0.3950286701476289
4,6.866422093,-125.55901773908388,0.460642427739393,5.605474836,-125.50392116585452,0.4529947426345289,6.612968085,-125.83912559974802,0.448843776306996,6.02390958,-114.56349080684616,0.4276854628058998
5,6.768391995,-125.79653736816499,0.45647359907490087,6.069731364000001,-124.54989334967048,0.44981812396906634,6.248209032,-125.51684506972978,0.44367924865674174,5.883189502,-113.89774121174784,0.41464568947085495
6,6.420519344000001,-127.63148893533439,0.45008704959118784,6.255107463,-125.34207747220819,0.4509571293202749,6.68121212,-126.0936160746105,0.4536203272750189,6.116093421,-114.81168331359314,0.40962129317570095
7,6.422608123,-125.79113658004884,0.4494228012185746,6.124215454,-125.58010206062029,0.44917053472349355,6.612400497,-126.94992727251248,0.4532437748328602,6.052684792,-113.69373677267362,0.41465704287847205
8,6.103490702,-124.24940524800499,0.4471576746812834,6.10662375,-125.983196510355,0.45109266540757187,6.390830245,-125.67413271090346,0.4490498055303682,6.100507085,-112.96583275357095,0.41940670590888474
9,5.913280831,-125.04321664793952,0.45078378479985376,6.097701003,-124.16994317903462,0.45541013966260846,6.071881835999999,-125.42582255122748,0.44878812258655626,5.8523562490000005,-115.362730202183,0.4180790678240155
10,6.052498042,-126.11239456601618,0.4549336083728985,5.99615517,-126.07562268514023,0.4488959267135795,6.611099122000001,-125.81516343107906,0.452762948116195,6.143989377,-114.51055214478974,0.4366428052836307
11,6.6597151189999995,-126.65014595029007,0.4486363161185354,6.357979454,-127.36581980797764,0.45544609815576925,6.843777248,-126.81366017901537,0.4534143403149343,6.224280039,-115.03271542284988,0.3791810717493056
12,6.412611881,-126.16082708123932,0.45424614970175575,6.382826175,-126.00905078377566,0.45344749555372327,6.830848916,-126.84918387660252,0.45357655361745886,5.871075960000001,-113.52718388469908,0.41032480560303697
13,6.406248489999999,-125.8467399961819,0.4511211180898106,6.51213787,-125.7009241529394,0.443792710553063,6.792647511,-126.29381592891235,0.45251823988440687,5.906982742,-116.5972929516415,0.38368834533126017
14,6.573384127,-125.61103187146276,0.45003423818291877,6.345153291,-126.44094619867063,0.4489341598452262,6.311194661,-126.60314399536131,0.45011777617109,6.1304217130000005,-114.23802496137361,0.4077967802347259
15,6.129636960000001,-126.7804596145713,0.44314061325109444,6.1005335039999995,-127.10821003135449,0.4522707881604406,6.554678793000001,-125.80875808199953,0.4586176785935798,5.783115962,-113.90305512043963,0.40507425284880344
16,5.990426584000001,-125.36776882304792,0.44966255424464524,5.7805580889999995,-125.31354529359122,0.4510673136217457,6.319957751,-126.24538814457622,0.45114092813559015,5.834145295,-113.79088835329168,0.40229797868560285
17,6.141885662,-127.27462173294715,0.4515239015451928,5.9785558309999995,-125.03600044157342,0.4504756543797447,6.869382584,-124.70164100187118,0.4472502950677745,6.195919249,-114.02303191770406,0.42263946206044845
18,5.942764835,-125.15509194155396,0.45077037856222313,6.420034961,-127.2759874694314,0.4585647596449707,6.131439954999999,-125.97427861947568,0.4496737072901081,6.208610791,-113.452375432143,0.41787427615850015
19,6.222046875,-126.14647758403169,0.4446146412686351,6.22771762,-125.49082362093299,0.447684464044598,6.010688538,-125.98343394047626,0.4488073167514561,5.911724834,-113.28916839268908,0.4063269353551122
20,6.3800666150000005,-126.36502429630453,0.4452913836682203,6.031461290999999,-125.26018952140048,0.4446540811023756,5.5277820769999995,-123.84152005416644,0.4517842648838356,6.189320454,-114.07114083225761,0.4073834950971456
21,8.507561212999999,-126.77985200608967,0.4511914201766722,6.238941369999999,-125.80214502924274,0.44612095814064234,6.549262543,-126.24348864258187,0.444297773749079,6.238480124,-113.64253782889357,0.380941423013891
22,6.332218174,-125.51415119936792,0.45417222613285124,6.271427869,-128.34288583036513,0.45649412624683317,6.075008367000001,-125.3588221280087,0.4483713450326162,5.926892335,-115.06890105839531,0.4118923010998845
23,6.925924408,-126.17356827972856,0.4416815463911209,5.902607118000001,-127.24379099846458,0.4464051009886784,6.258589593,-125.02217190362076,0.45054692778725847,5.9883155420000005,-112.65188337000129,0.41276082429935257
24,6.446657667,-127.90513257346268,0.45002121952385654,6.233904792,-127.07162763475878,0.45168522927323057,6.850616456999999,-126.21352821589845,0.446708238724529,5.763026628,-113.16960817126025,0.4022382828558396
25,6.336742116,-125.3468947278613,0.44598016480126457,6.215601081,-126.79730039595746,0.4591829111567506,6.187109335,-125.1065987671281,0.45536547855636733,6.166164666999999,-114.03754387452855,0.41913387343255204
