exprid,Time_sequential,NC_sequential,MM_sequential,Time_independent,NC_independent,MM_independent,Time_full,NC_full,MM_full,Time_chopin,NC_chopin,MM_chopin
1,9.092786590000001,-131.75988277480877,0.4541635545282766,6.788789249,-128.41895389676463,0.45341454107067497,6.692399828000001,-128.2038572557302,0.4556086637410585,6.592864292,-124.4060590433685,0.47501592168168777
2,7.497675539,-126.06552928821895,0.44084484874550256,6.739259539,-129.48235495389378,0.4665880050201576,6.808035667,-128.20936216889993,0.4505555673534686,6.395377998,-122.79952307979899,0.42504899466522644
3,7.081312668,-128.42884188801168,0.46589572656047734,6.510303172,-125.87040142981223,0.43884133499488404,7.380810911,-129.41118001708395,0.4566979151763445,6.786379835,-123.17599841555968,0.43669286014245245
4,7.070674249,-128.08904850301562,0.4519732532327483,6.201603456,-124.60393376959439,0.5086081662590161,7.364328162,-131.5328470553787,0.4546446587007601,6.421861292999999,-121.59025408670307,0.4414194386143232
5,7.247069715,-127.82390163318027,0.46185650991350685,6.625928705,-128.899800318115,0.4614359074738735,7.291028874,-127.15919157309183,0.43583890042899415,6.553378551,-123.06291318880683,0.4441569335791984
6,7.249047593,-129.13430134721347,0.47558887974031105,6.521290379,-128.84413150502058,0.45020003650832585,6.8605328320000005,-126.81200808095923,0.44207500997338467,6.4288194999999995,-121.27217625174879,0.4263832584981724
7,7.215991503,-128.65362449346492,0.4530634056946241,6.946199498999999,-128.44084105837854,0.4755351305443247,7.347796716,-128.5913089199739,0.4625839523790969,6.770083960999999,-123.81034128347703,0.46802222611882205
8,7.249919047999999,-128.69715349460722,0.4728207590031167,7.088209749,-128.32474716414953,0.45365025420204985,7.201924004,-127.28432223133672,0.4569244707852774,6.653201207,-124.1126176409729,0.4350438882480402
9,6.752347912,-123.78230547222145,0.46415573069398797,6.711786503999999,-129.48147303003356,0.4582279509197803,7.34536658,-129.47584657279754,0.4570372664471706,6.796534252,-123.72972381168434,0.4118999031419307
10,6.676648287999999,-126.05610460215402,0.45187511555676685,7.094440205,-130.87066969153392,0.4777033658880691,7.400305619999999,-129.62787705598313,0.4381198586375747,6.414475039999999,-122.91514463646092,0.47265588067160635
11,7.105433671,-127.32007884603648,0.4542375485444353,6.838504802999999,-127.77742105163789,0.4642722508146291,7.358171205,-125.16617439993927,0.46183275786485345,6.588466374,-124.49651053585319,0.44922874925976863
12,7.141260332,-129.97150635521402,0.44969001720836166,6.4475093679999995,-126.81133523374079,0.44215186660349576,7.409266420000001,-124.46678035946657,0.4496894447699322,6.62842396,-122.55113330354652,0.4238454835584012
13,6.765188791,-125.02709545480535,0.45794235603373834,6.297766078,-127.14503728900985,0.4578547481273362,7.494894254,-130.05625922200056,0.48064106479142465,6.717228998,-123.49956671381399,0.43467380288388857
14,7.515123202999999,-127.12583539603692,0.44709789538313904,6.486932210000001,-125.36219557278918,0.4397193540595282,7.397252954000001,-132.17082528647055,0.4640066974675945,6.733740001,-123.0320726313628,0.4430185833179825
15,7.203201082,-131.91343530663875,0.4416799517611632,6.882758916,-126.24378109649555,0.4347690200525404,7.070256951,-130.20262251009908,0.46157996786444444,6.799118416,-123.50816521205154,0.4190607334631309
16,7.108312822,-127.74180326637743,0.45805108317018445,6.8226937869999995,-129.78911110160266,0.4759461676583622,7.442384670999999,-125.91757261255547,0.4558345259018437,6.880301374,-122.3049673191345,0.43163905424136295
